0000	-74.14	329.10
0015	-75.40	341.35
0030	-76.01	355.13
0045	-75.89	9.36
0100	-75.06	22.73
0115	-73.62	34.38
0130	-71.72	44.07
0145	-69.49	52.01
0200	-67.03	58.54
0215	-64.41	63.99
0230	-61.66	68.61
0245	-58.84	72.60
0300	-55.96	76.12
0315	-53.03	79.27
0330	-50.08	82.14
0345	-47.11	84.78
0400	-44.12	87.25
0415	-41.13	89.58
0430	-38.14	91.80
0445	-35.15	93.95
0500	-32.17	96.03
0515	-29.20	98.07
0530	-26.25	100.08
0545	-23.32	102.07
0600	-20.41	104.05
0615	-17.52	106.04
0630	-14.67	108.04
0645	-11.85	110.07
0700	-9.07	112.13
0715	-6.32	114.23
0730	-3.37	116.37
0745	-0.26	118.58
0800	2.04	120.85
0815	4.45	123.18
0830	6.87	125.60
0845	9.24	128.11
0900	11.53	130.71
0915	13.74	133.41
0930	15.86	136.23
0945	17.87	139.15
1000	19.76	142.19
1015	21.53	145.36
1030	23.16	148.64
1045	24.64	152.05
1100	25.96	155.58
1115	27.11	159.21
1130	28.08	162.94
1145	28.86	166.77
1200	29.45	170.66
1215	29.83	174.60
1230	30.01	178.58
1245	29.98	182.56
1300	29.74	186.53
1315	29.30	190.46
1330	28.66	194.34
1345	27.83	198.13
1400	26.80	201.84
1415	25.61	205.45
1430	24.24	208.94
1445	22.72	212.31
1500	21.05	215.57
1515	19.25	218.70
1530	17.32	221.71
1545	15.28	224.60
1600	13.14	227.38
1615	10.90	230.06
1630	8.59	232.63
1645	6.20	235.12
1700	3.78	237.51
1715	1.38	239.83
1730	-0.95	242.08
1745	-4.26	244.27
1800	-7.08	246.41
1815	-9.84	248.49
1830	-12.63	250.54
1845	-15.46	252.57
1900	-18.32	254.57
1915	-21.21	256.56
1930	-24.13	258.54
1945	-27.07	260.54
2000	-30.02	262.56
2015	-33.00	264.61
2030	-35.98	266.72
2045	-38.97	268.88
2100	-41.96	271.14
2115	-44.95	273.52
2130	-47.93	276.04
2145	-50.90	278.74
2200	-53.84	281.69
2215	-56.75	284.94
2230	-59.62	288.59
2245	-62.42	292.76
2300	-65.12	297.60
2315	-67.71	303.34
2330	-70.10	310.24
2345	-72.24	318.65
2400	-74.02	328.88
